"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C2orf92",0,1.00067627003024,0.394,0.159,0,"0","C2orf92"
"POU2AF1",0,0.806034164699425,0.73,0.288,0,"0","POU2AF1"
"IGFBP7",0,0.778218834691703,0.92,0.536,0,"0","IGFBP7"
"TTR",0,0.76632059046512,0.999,0.955,0,"0","TTR"
"CP",0,0.755298451067822,0.766,0.38,0,"0","CP"
"HIF1A-AS3",0,0.742747496167579,0.46,0.178,0,"0","HIF1A-AS3"
"NT5DC1",0,0.716951027763178,0.842,0.446,0,"0","NT5DC1"
"PCAT1",0,0.707822203307134,0.847,0.445,0,"0","PCAT1"
"SFRP1",0,0.706155084267522,0.795,0.381,0,"0","SFRP1"
"LINC00598",0,0.703472228183756,0.629,0.281,0,"0","LINC00598"
"DNAH5",0,0.684803963204899,0.481,0.172,0,"0","DNAH5"
"SPARCL1",0,0.682511570648315,0.666,0.296,0,"0","SPARCL1"
"SLC23A2",0,0.645686812420232,0.794,0.417,0,"0","SLC23A2"
"SLC16A6",0,0.642814454292031,0.582,0.233,0,"0","SLC16A6"
"AC079793.1",0,0.637633478122483,0.494,0.193,0,"0","AC079793.1"
"ABCC5",0,0.636031119673626,0.722,0.339,0,"0","ABCC5"
"PIP5K1B",0,0.635021773197867,0.951,0.583,0,"0","PIP5K1B"
"SLC15A4",0,0.628454121191917,0.606,0.22,0,"0","SLC15A4"
"TRMT9B",0,0.625467123309535,0.989,0.739,0,"0","TRMT9B"
"CDHR3",0,0.616688610219055,0.448,0.157,0,"0","CDHR3"
"GALNT11",0,0.613577762193082,0.907,0.526,0,"0","GALNT11"
"LINC00880",0,0.611717762925258,0.748,0.338,0,"0","LINC00880"
"CTSD",0,0.609438852998076,0.717,0.346,0,"0","CTSD"
"SNTB1",0,0.607911127928255,0.866,0.446,0,"0","SNTB1"
"LINC00276",0,0.606865425565264,0.594,0.32,0,"0","LINC00276"
"FRK",0,0.60226443081022,0.509,0.183,0,"0","FRK"
"RMST",0,0.594379758076816,0.691,0.298,0,"0","RMST"
"CLDN5",0,0.584116594105151,0.343,0.099,0,"0","CLDN5"
"AQP1",0,0.583252260395393,0.428,0.125,0,"0","AQP1"
"CA12",0,0.582889091413045,0.789,0.378,0,"0","CA12"
"TMEM72-AS1",0,0.580016009236598,0.863,0.471,0,"0","TMEM72-AS1"
"PPP1R1B",0,0.57948193136637,0.501,0.175,0,"0","PPP1R1B"
"SLC13A4",0,0.579069702858712,0.88,0.516,0,"0","SLC13A4"
"AC004052.1",0,0.574766292680789,0.452,0.176,0,"0","AC004052.1"
"HDAC9",0,0.57019892125253,0.985,0.695,0,"0","HDAC9"
"ITPR1",0,0.566896360325678,0.752,0.352,0,"0","ITPR1"
"OTX2-AS1",0,0.563075585953842,0.881,0.538,0,"0","OTX2-AS1"
"PDK4",0,0.561659208167875,0.641,0.327,0,"0","PDK4"
"MYO1E",0,0.557421289785923,0.661,0.3,0,"0","MYO1E"
"SLC38A11",0,0.557377270792057,0.403,0.169,0,"0","SLC38A11"
"SLC39A12",0,0.554616201916397,0.873,0.469,0,"0","SLC39A12"
"DOCK8",0,0.551375665093659,0.874,0.463,0,"0","DOCK8"
"CLIC6",0,0.550275002246376,0.967,0.611,0,"0","CLIC6"
"SLC28A3",0,0.548802611273693,0.397,0.124,0,"0","SLC28A3"
"SLC16A12",0,0.547462415580378,0.751,0.358,0,"0","SLC16A12"
"MRPS6",0,0.545400908056511,0.743,0.348,0,"0","MRPS6"
"PLD5",0,0.540888890109055,0.908,0.558,0,"0","PLD5"
"ATP2B2",0,0.539220747732674,0.912,0.521,0,"0","ATP2B2"
"NWD1",0,0.538517417306361,0.975,0.665,0,"0","NWD1"
"HVCN1",0,0.534473462844603,0.674,0.288,0,"0","HVCN1"
"ROR2",0,0.534142898923153,0.916,0.525,0,"0","ROR2"
"PRLR",0,0.531128035291423,0.954,0.647,0,"0","PRLR"
"MDM2",0,0.528993869794312,0.42,0.17,0,"0","MDM2"
"BSG",0,0.528909256549076,0.559,0.224,0,"0","BSG"
"SOD3",0,0.52874182763214,0.44,0.147,0,"0","SOD3"
"PRICKLE2",0,0.52863353616564,0.835,0.462,0,"0","PRICKLE2"
"DYNC1I1",0,0.527041666558926,0.826,0.438,0,"0","DYNC1I1"
"MTUS2",0,0.524726266933396,0.736,0.357,0,"0","MTUS2"
"ESRRG",0,0.523709220279331,0.704,0.32,0,"0","ESRRG"
"CHST11",0,0.519300489667885,0.905,0.548,0,"0","CHST11"
"CGNL1",0,0.517186149675412,0.586,0.234,0,"0","CGNL1"
"GPR155",0,0.516671193875662,0.773,0.431,0,"0","GPR155"
"SLC19A1",0,0.513619826037547,0.573,0.218,0,"0","SLC19A1"
"SLC4A10",0,0.502087056897901,0.857,0.508,0,"0","SLC4A10"
"DNAH11",0,0.500761761632901,0.93,0.568,0,"0","DNAH11"
"ATP13A5",0,0.500649985033201,0.455,0.158,0,"0","ATP13A5"
"RNF152",0,0.50056002858011,0.658,0.287,0,"0","RNF152"
"CRYBG1",0,0.499956962484153,0.876,0.463,0,"0","CRYBG1"
"DNAH7",0,0.499848902562046,0.779,0.372,0,"0","DNAH7"
"SPAG17",0,0.49969339477794,0.737,0.338,0,"0","SPAG17"
"EPHA4",0,0.49905825705441,0.638,0.292,0,"0","EPHA4"
"KCNK13",0,0.498178546223321,0.348,0.13,0,"0","KCNK13"
"ADAMTS17",0,0.49792054569968,0.491,0.214,0,"0","ADAMTS17"
"ARMC3",0,0.497086736536962,0.804,0.395,0,"0","ARMC3"
"TRPV4",0,0.495136522982428,0.848,0.434,0,"0","TRPV4"
"FYB2",0,0.492999216944713,0.774,0.375,0,"0","FYB2"
"CA2",0,0.49289933902448,0.462,0.174,0,"0","CA2"
"TMEM232",0,0.491006296290472,0.73,0.333,0,"0","TMEM232"
"SLC24A4",0,0.488813299445391,0.895,0.503,0,"0","SLC24A4"
"DNER",0,0.488774337049584,0.621,0.263,0,"0","DNER"
"MAP3K15",0,0.488739702172131,0.485,0.175,0,"0","MAP3K15"
"SCARB1",0,0.487447853930747,0.46,0.172,0,"0","SCARB1"
"CFAP43",0,0.483306171585351,0.771,0.366,0,"0","CFAP43"
"SLC2A12",0,0.47702656027321,0.703,0.323,0,"0","SLC2A12"
"AMMECR1",0,0.476538031799806,0.721,0.352,0,"0","AMMECR1"
"GLIS3",0,0.475913892183311,0.952,0.633,0,"0","GLIS3"
"CRPPA",0,0.472180686340259,0.778,0.447,0,"0","CRPPA"
"PLXNA2",0,0.472095209230142,0.82,0.432,0,"0","PLXNA2"
"RGS22",0,0.471758027685429,0.346,0.112,0,"0","RGS22"
"SMC6",0,0.471741354445404,0.554,0.236,0,"0","SMC6"
"GALNT17",0,0.471725084849932,0.948,0.596,0,"0","GALNT17"
"HOMER2",0,0.470870378591555,0.664,0.289,0,"0","HOMER2"
"PHACTR2",0,0.469316950922532,0.938,0.638,0,"0","PHACTR2"
"SPEF2",0,0.465986922378158,0.66,0.287,0,"0","SPEF2"
"SH3D19",0,0.465408950198071,0.893,0.554,0,"0","SH3D19"
"STK33",0,0.461166761952723,0.849,0.47,0,"0","STK33"
"GPX3",0,0.460984370537845,0.841,0.539,0,"0","GPX3"
"DGKI",0,0.460826537036235,0.848,0.474,0,"0","DGKI"
"NEK11",0,0.459533826479634,0.723,0.335,0,"0","NEK11"
"MYOF",0,0.457867320387267,0.681,0.332,0,"0","MYOF"
"LINC02660",0,0.457124516899013,0.396,0.132,0,"0","LINC02660"
"CFAP61",0,0.454252540110707,0.466,0.169,0,"0","CFAP61"
"PRDM16",0,0.451932648214397,0.755,0.363,0,"0","PRDM16"
"HTR2C",0,0.451202399674799,0.962,0.706,0,"0","HTR2C"
"TRPM3",0,0.450157484093022,0.993,0.856,0,"0","TRPM3"
"KANK1",0,0.449753609248035,0.903,0.563,0,"0","KANK1"
"STEAP1B",0,0.447696755178102,0.59,0.253,0,"0","STEAP1B"
"STK39",0,0.446969534022307,0.915,0.604,0,"0","STK39"
"IER3",0,0.446448402577188,0.323,0.102,0,"0","IER3"
"LRRIQ1",0,0.44638395740498,0.602,0.246,0,"0","LRRIQ1"
"AGBL4",0,0.445537536573593,0.93,0.584,0,"0","AGBL4"
"LINC00882",0,0.445448223613029,0.541,0.238,0,"0","LINC00882"
"TNFAIP8",0,0.445230363742241,0.635,0.279,0,"0","TNFAIP8"
"BCL2L1",0,0.444926803476766,0.69,0.319,0,"0","BCL2L1"
"CBX5",0,0.443787348534591,0.506,0.186,0,"0","CBX5"
"CFAP54",0,0.442879988975822,0.893,0.495,0,"0","CFAP54"
"CUX2",0,0.441288920968805,0.796,0.417,0,"0","CUX2"
"WDR78",0,0.440069856795918,0.557,0.218,0,"0","WDR78"
"LCA5",0,0.438617879153947,0.383,0.124,0,"0","LCA5"
"SELENOW",0,0.436041941335612,0.473,0.183,0,"0","SELENOW"
"TMEM117",0,0.435851378196887,0.792,0.449,0,"0","TMEM117"
"TLN2",0,0.433712711690053,0.849,0.485,0,"0","TLN2"
"GRM8",0,0.43237991325788,0.815,0.471,0,"0","GRM8"
"ITGB8",0,0.432197150851416,0.653,0.306,0,"0","ITGB8"
"VAT1L",0,0.43197961813202,0.83,0.447,0,"0","VAT1L"
"TSC22D1",0,0.431905840155447,0.902,0.582,0,"0","TSC22D1"
"RBBP8",0,0.431092492194652,0.437,0.158,0,"0","RBBP8"
"AL161757.4",0,0.430883917350296,0.454,0.2,0,"0","AL161757.4"
"SDC4",0,0.429179960266262,0.254,0.075,0,"0","SDC4"
"DNAH6",0,0.428867389744913,0.728,0.339,0,"0","DNAH6"
"PDZD2",0,0.427344376699775,0.964,0.705,0,"0","PDZD2"
"GNA14",0,0.427195247418924,0.683,0.336,0,"0","GNA14"
"CST3",0,0.425311840049328,0.447,0.17,0,"0","CST3"
"SOX9",0,0.423900062121202,0.292,0.083,0,"0","SOX9"
"SHANK2",0,0.423471614668537,0.956,0.62,0,"0","SHANK2"
"CPEB4",0,0.423438254830051,0.763,0.391,0,"0","CPEB4"
"KIF27",0,0.422455649583733,0.571,0.235,0,"0","KIF27"
"DCDC1",0,0.421840821451022,0.677,0.31,0,"0","DCDC1"
"C4orf47",0,0.421001998559781,0.452,0.17,0,"0","C4orf47"
"MICAL2",0,0.419518523447727,0.796,0.409,0,"0","MICAL2"
"PDLIM5",0,0.418482039515538,0.773,0.407,0,"0","PDLIM5"
"CYP27A1",0,0.418115508989787,0.427,0.151,0,"0","CYP27A1"
"SLC6A20",0,0.415812582718626,0.537,0.202,0,"0","SLC6A20"
"FAT1",0,0.415347364677951,0.615,0.264,0,"0","FAT1"
"ADGRA3",0,0.414975304594396,0.605,0.261,0,"0","ADGRA3"
