"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",6.50936165325994e-252,1.5665030353681,0.456,0.126,1.81897602038696e-247,"0","IL7R"
"AOAH",8.3565947578783e-241,-1.3989592333503,0.22,0.563,2.33516683914151e-236,"0","AOAH"
"SERINC5",1.52491321581853e-222,1.58208278808342,0.384,0.095,4.2612174902833e-218,"0","SERINC5"
"LDLRAD4",2.21521699717434e-206,1.29845776257062,0.504,0.198,6.19020237690399e-202,"0","LDLRAD4"
"ANK3",9.20990746745818e-188,1.14185373675947,0.546,0.247,2.57361654270651e-183,"0","ANK3"
"ZEB2",1.48700545105022e-162,-1.57345610260496,0.088,0.339,4.15528803241474e-158,"0","ZEB2"
"MCTP2",3.50354602305166e-153,-1.44750720403228,0.103,0.352,9.79030900681557e-149,"0","MCTP2"
"PRKCA",4.89700243002005e-150,1.24319586464378,0.396,0.153,1.3684183590448e-145,"0","PRKCA"
"CAMK4",5.94948927730751e-146,0.919496920236641,0.562,0.275,1.66252528365081e-141,"0","CAMK4"
"RORA",1.14929865042982e-141,0.895873944189783,0.586,0.316,3.21160014876108e-137,"0","RORA"
"LINC02694",1.71354759226036e-141,1.54050594657987,0.267,0.069,4.78833739181234e-137,"0","LINC02694"
"INPP4B",1.8924553654058e-125,0.816782143210896,0.575,0.305,5.28827727308996e-121,"0","INPP4B"
"RBPJ",4.09215892489409e-121,1.13628163380475,0.381,0.165,1.14351288997241e-116,"0","RBPJ"
"SAMD3",1.03384125988389e-118,-1.10781458291902,0.179,0.408,2.88896601661954e-114,"0","SAMD3"
"FKBP5",8.48414990822958e-113,0.683221494432348,0.663,0.428,2.37081085035567e-108,"0","FKBP5"
"AUTS2",1.60718361092432e-112,-1.38356395969669,0.071,0.26,4.49111388236693e-108,"0","AUTS2"
"PAG1",9.01058053999221e-112,0.907441703277341,0.464,0.233,2.51791662609542e-107,"0","PAG1"
"ITK",2.32195558965235e-96,0.842056132254831,0.446,0.231,6.48847269972454e-92,"0","ITK"
"SYNE1",1.19669255552227e-92,-0.935400262985437,0.237,0.431,3.34403767715142e-88,"0","SYNE1"
"RUNX2",1.16976257347144e-89,1.04145764918192,0.309,0.134,3.26878453530858e-85,"0","RUNX2"
"PLCG2",1.70596192377927e-89,-1.04072643962819,0.159,0.348,4.7671399998088e-85,"0","PLCG2"
"CDC14A",2.09499014637999e-87,0.861160725954393,0.414,0.218,5.85424046504424e-83,"0","CDC14A"
"PDE3B",1.01971238554238e-85,0.639188168390376,0.596,0.38,2.84948429015964e-81,"0","PDE3B"
"ADAM19",2.825149733313e-81,0.929933293089913,0.314,0.142,7.89459841476985e-77,"0","ADAM19"
"DUSP16",7.8797056308081e-77,0.950140415905428,0.279,0.12,2.20190494147301e-72,"0","DUSP16"
"SPOCK2",6.44755453920393e-76,0.947420446510988,0.264,0.11,1.80170464043515e-71,"0","SPOCK2"
"VAV3",7.13896640256009e-74,-0.93310091810631,0.146,0.317,1.99491277153139e-69,"0","VAV3"
"ARHGAP26",2.90069089075026e-69,-0.769313351805713,0.257,0.43,8.10569062511252e-65,"0","ARHGAP26"
"BCL11B",7.51618113525683e-69,0.596489809970758,0.537,0.336,2.10032165643617e-64,"0","BCL11B"
"LYST",2.31060603070062e-65,-0.854668654900512,0.213,0.372,6.4567574921898e-61,"0","LYST"
"PPP2R2B",7.35934990846022e-65,-0.886943106221792,0.141,0.298,2.05649673842012e-60,"0","PPP2R2B"
"FOXO1",3.2183328552755e-61,0.612505269832869,0.5,0.327,8.99330933078186e-57,"0","FOXO1"
"RBMS1",4.20373312964171e-61,0.71442625345205,0.402,0.241,1.17469118574708e-56,"0","RBMS1"
"DOCK9",2.05426774762045e-58,0.776483501353922,0.317,0.171,5.74044579395058e-54,"0","DOCK9"
"PVT1",2.61908968174428e-55,0.71664115729339,0.345,0.196,7.31878420666622e-51,"0","PVT1"
"NCALD",2.59852501618435e-53,-0.878834289527943,0.144,0.278,7.26131830522554e-49,"0","NCALD"
"PHACTR2",1.52476561925178e-52,0.621739221215407,0.419,0.263,4.26080504643718e-48,"0","PHACTR2"
"THEMIS",4.77587935938449e-49,0.450416565010491,0.579,0.376,1.3345717281864e-44,"0","THEMIS"
"CASK",1.57149256687367e-48,0.553167607765419,0.454,0.296,4.39137882887179e-44,"0","CASK"
"PCNX1",4.20141823897759e-47,0.456552842746639,0.587,0.431,1.1740443126999e-42,"0","PCNX1"
"PHTF2",1.27388560625102e-45,0.709767843842382,0.301,0.174,3.55974593810784e-41,"0","PHTF2"
"RORA-AS1",1.84213940894747e-45,0.734247217413773,0.266,0.144,5.14767436436281e-41,"0","RORA-AS1"
"RUNX3",3.6772403734368e-45,-0.715047218937338,0.19,0.321,1.02756804995318e-40,"0","RUNX3"
"SARAF",9.60104612009477e-45,0.640936886660422,0.333,0.199,2.68291632779928e-40,"0","SARAF"
"EML4",5.23639481057669e-44,0.445144864670124,0.568,0.407,1.46325816586755e-39,"0","EML4"
"TTC39C",1.76037411871364e-43,0.598247132024187,0.378,0.243,4.91918943733339e-39,"0","TTC39C"
"DGKD",7.79511965140616e-42,-0.732972459124627,0.136,0.255,2.17826823538894e-37,"0","DGKD"
"AAK1",1.32098876486157e-40,0.496043865076238,0.456,0.31,3.69137100452916e-36,"0","AAK1"
"PCNX2",3.26639109282037e-38,0.56230939634964,0.326,0.2,9.12760326977725e-34,"0","PCNX2"
"GPRIN3",3.3172048704635e-38,0.483804266835473,0.45,0.312,9.26959729002321e-34,"0","GPRIN3"
"NIBAN1",7.09127760969204e-38,0.48904667066564,0.466,0.334,1.98158661525234e-33,"0","NIBAN1"
"ABCC1",9.07981519973914e-38,0.598616429075185,0.317,0.197,2.53726355941511e-33,"0","ABCC1"
"ZEB1",5.79629562680659e-35,0.494673855054584,0.4,0.271,1.61971684995483e-30,"0","ZEB1"
"ANKRD12",6.96465653681095e-35,0.398137496456524,0.558,0.424,1.94620362264645e-30,"0","ANKRD12"
"FYB1",1.34440345845652e-34,0.399902489323607,0.532,0.388,3.75680102431091e-30,"0","FYB1"
"PIP4K2A",1.27026438944651e-33,-0.313315602193766,0.585,0.681,3.54962680986932e-29,"0","PIP4K2A"
"OXNAD1",1.75011150261147e-33,0.590815516859235,0.281,0.173,4.8905115828975e-29,"0","OXNAD1"
"NCK2",6.58654098645693e-33,0.476744060236321,0.39,0.265,1.84054301325553e-28,"0","NCK2"
"RAPGEF6",5.42019159294252e-32,0.463627127400979,0.416,0.295,1.51461833873186e-27,"0","RAPGEF6"
"BCL2",8.32566783489126e-32,0.41760215491547,0.493,0.367,2.32652461978201e-27,"0","BCL2"
"LRRC8C",5.4162614813041e-31,0.54717218815526,0.268,0.163,1.51352010833562e-26,"0","LRRC8C"
"LINC01619",1.70300015543494e-29,0.540157059830492,0.3,0.195,4.7588636343474e-25,"0","LINC01619"
"MGAT5",5.28139205371375e-29,0.375284286230864,0.501,0.369,1.47583219548977e-24,"0","MGAT5"
"BACH2",1.88152793370246e-28,0.449184403161756,0.294,0.184,5.25774165793816e-24,"0","BACH2"
"ATP8A1",2.12516103876701e-28,-0.443530464734435,0.302,0.417,5.93855000673052e-24,"0","ATP8A1"
"EIF4G3",2.80565167548473e-28,-0.504971929555352,0.225,0.33,7.84011304197454e-24,"0","EIF4G3"
"ANKRD28",6.82424870366667e-28,0.591310051121444,0.25,0.157,1.90696805775262e-23,"0","ANKRD28"
"ZNF831",8.76400856472373e-26,0.496047391378825,0.281,0.184,2.4490145533264e-21,"0","ZNF831"
"AFF1",1.01335319377943e-25,0.463219663278924,0.343,0.24,2.83171416469725e-21,"0","AFF1"
"PRKCB",4.11604753185607e-25,-0.341036457742264,0.462,0.554,1.15018832230186e-20,"0","PRKCB"
"AC079793.1",8.14632305525169e-25,0.401714008599183,0.433,0.327,2.27640851455953e-20,"0","AC079793.1"
"FAM49B",1.33745015179009e-23,-0.380871125450898,0.376,0.471,3.73737070416223e-19,"0","FAM49B"
"ITGAL",2.07683132857262e-23,-0.492788664620628,0.222,0.314,5.80349746456332e-19,"0","ITGAL"
"FCHSD2",3.7500503852392e-23,-0.475956827738797,0.25,0.343,1.04791407965124e-18,"0","FCHSD2"
"ZFP36L2",5.28902787291802e-23,0.44893655612717,0.319,0.224,1.47796594880821e-18,"0","ZFP36L2"
"TAB2",1.43105183503479e-22,0.45261400770478,0.276,0.186,3.99893124782122e-18,"0","TAB2"
"ESYT2",2.211771219128e-22,0.398634616547837,0.319,0.22,6.18057349473128e-18,"0","ESYT2"
"FOXP1",1.20678594393285e-21,0.265371015682544,0.637,0.541,3.37224264172597e-17,"0","FOXP1"
"MAP3K5",4.09406729287012e-21,0.375494863029499,0.39,0.29,1.14404616431963e-16,"0","MAP3K5"
"MAML2",6.17577714397064e-21,0.314022916080288,0.507,0.401,1.72575916511116e-16,"0","MAML2"
"ITCH",8.43595414262736e-21,-0.52203190689967,0.173,0.253,2.35734302561579e-16,"0","ITCH"
"PITPNC1",9.99250784733739e-21,-0.294098633458783,0.508,0.585,2.79230639285996e-16,"0","PITPNC1"
"TNIK",1.14573028552409e-20,0.364640300795971,0.404,0.305,3.20162870986852e-16,"0","TNIK"
"CMIP",1.40157900371282e-20,-0.375453197115426,0.343,0.434,3.91657236797511e-16,"0","CMIP"
"LPIN2",5.71055792795136e-20,0.437981093102368,0.253,0.171,1.59575830738673e-15,"0","LPIN2"
"SMAP2",1.40563119525353e-19,0.319986067863626,0.466,0.364,3.92789581201646e-15,"0","SMAP2"
"WWP1",1.51621241371189e-19,0.448172098581714,0.261,0.181,4.23690396887651e-15,"0","WWP1"
"CRYBG1",1.64150726580144e-19,0.443793575744728,0.3,0.217,4.58702790355554e-15,"0","CRYBG1"
