"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LEF1",0,1.77053055749358,0.864,0.295,0,"0","LEF1"
"TCF7",0,1.61763098997824,0.903,0.421,0,"0","TCF7"
"CCR7",0,1.90393938386985,0.692,0.222,0,"0","CCR7"
"CAMK4",0,1.19928462367259,0.813,0.349,0,"0","CAMK4"
"IL7R",0,0.930054866559054,0.872,0.43,0,"0","IL7R"
"MAL",0,1.96011724696312,0.604,0.181,0,"0","MAL"
"FHIT",0,1.55749554763036,0.623,0.209,0,"0","FHIT"
"LTB",0,1.04089171573241,0.915,0.515,0,"0","LTB"
"INPP4B",0,1.06898416578966,0.658,0.288,0,"0","INPP4B"
"PIK3IP1",0,1.40278254639496,0.707,0.356,0,"0","PIK3IP1"
"TSHZ2",0,1.6773259138295,0.446,0.096,0,"0","TSHZ2"
"RCAN3",0,1.41208852949355,0.621,0.278,0,"0","RCAN3"
"PRKCQ-AS1",0,1.62978457919569,0.557,0.215,0,"0","PRKCQ-AS1"
"NOSIP",0,1.38530005332304,0.732,0.394,0,"0","NOSIP"
"TRABD2A",0,1.73090257505808,0.492,0.159,0,"0","TRABD2A"
"LDHB",0,1.17719892794245,0.841,0.567,0,"0","LDHB"
"EEF1G",0,0.780713950276263,0.912,0.815,0,"0","EEF1G"
"SARAF",0,0.824353751317657,0.949,0.855,0,"0","SARAF"
"EEF1B2",0,0.864407950926719,0.909,0.82,0,"0","EEF1B2"
"RPL22",0,0.812059411641415,0.941,0.859,0,"0","RPL22"
"RPS5",0,0.886695056269288,0.917,0.84,0,"0","RPS5"
"RPL38",0,0.71261080882248,0.933,0.861,0,"0","RPL38"
"RPL9",0,0.758197311180601,0.94,0.876,0,"0","RPL9"
"RPL18",0,0.701801734419496,0.949,0.885,0,"0","RPL18"
"RPL5",0,0.821153994151992,0.941,0.878,0,"0","RPL5"
"RPS25",0,0.799279623799184,0.951,0.891,0,"0","RPS25"
"RPL21",0,0.644532687878417,0.959,0.9,0,"0","RPL21"
"RPL36",0,0.707970265982116,0.94,0.881,0,"0","RPL36"
"RPL14",0,0.686510324365724,0.952,0.894,0,"0","RPL14"
"RPL35A",0,0.734629375680738,0.947,0.889,0,"0","RPL35A"
"RPS4X",0,0.706913025336308,0.945,0.887,0,"0","RPS4X"
"RPL29",0,0.648278028032905,0.941,0.884,0,"0","RPL29"
"RPS21",0,0.71802690190504,0.961,0.904,0,"0","RPS21"
"RPS6",0,0.720606460850002,0.961,0.906,0,"0","RPS6"
"RPL18A",0,0.636865503438695,0.954,0.901,0,"0","RPL18A"
"RPLP2",0,0.611883756921419,0.957,0.905,0,"0","RPLP2"
"RPS13",0,0.859515580113314,0.952,0.9,0,"0","RPS13"
"RPL39",0,0.720320686369433,0.961,0.909,0,"0","RPL39"
"RPL37",0,0.646722146915734,0.963,0.913,0,"0","RPL37"
"RPS3",0,0.698662390058627,0.954,0.904,0,"0","RPS3"
"RPS15",0,0.582767920078989,0.95,0.901,0,"0","RPS15"
"RPS23",0,0.71851844908042,0.956,0.908,0,"0","RPS23"
"RPS18",0,0.676501160443617,0.958,0.91,0,"0","RPS18"
"RPS14",0,0.722305086666046,0.959,0.912,0,"0","RPS14"
"RPS15A",0,0.760793214771425,0.961,0.914,0,"0","RPS15A"
"RPL32",0,0.867195570625175,0.969,0.923,0,"0","RPL32"
"RPL19",0,0.705949626948452,0.964,0.919,0,"0","RPL19"
"RPS28",0,0.69304174903273,0.959,0.914,0,"0","RPS28"
"RPS27A",0,0.764698486363983,0.961,0.917,0,"0","RPS27A"
"RPS8",0,0.726468936858319,0.966,0.924,0,"0","RPS8"
"RPL30",0,0.846683998780942,0.956,0.915,0,"0","RPL30"
"RPS12",0,0.87031845032677,0.978,0.938,0,"0","RPS12"
"RPL11",0,0.800719825583444,0.953,0.913,0,"0","RPL11"
"RPS3A",0,0.851449911411956,0.96,0.922,0,"0","RPS3A"
"RPL34",0,0.735250511584161,0.958,0.922,0,"0","RPL34"
