"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ST18",0,4.75303804230297,0.951,0.057,0,"0","ST18"
"PLP1",0,4.42601922362698,0.891,0.123,0,"0","PLP1"
"CTNNA3",0,4.31427710366355,0.947,0.256,0,"0","CTNNA3"
"RNF220",0,3.98273198170466,0.929,0.224,0,"0","RNF220"
"PIP4K2A",0,3.56976951580184,0.948,0.355,0,"0","PIP4K2A"
"TMEM144",0,3.4195306334629,0.794,0.102,0,"0","TMEM144"
"SLC7A14-AS1",0,3.41549101868675,0.697,0.07,0,"0","SLC7A14-AS1"
"SLC44A1",0,3.37557607205787,0.94,0.517,0,"0","SLC44A1"
"MBP",0,3.36591004204267,0.892,0.338,0,"0","MBP"
"AC008571.2",0,3.34283847135243,0.584,0.06,0,"0","AC008571.2"
"CLMN",0,3.31220924406336,0.805,0.116,0,"0","CLMN"
"C10orf90",0,3.20825078053012,0.792,0.086,0,"0","C10orf90"
"ENPP2",0,3.19366616692054,0.723,0.052,0,"0","ENPP2"
"PRUNE2",0,3.17336988358774,0.881,0.404,0,"0","PRUNE2"
"DOCK5",0,3.12153863297424,0.826,0.126,0,"0","DOCK5"
"MOBP",0,3.11682927159102,0.642,0.059,0,"0","MOBP"
"NCKAP5",0,3.11209279466665,0.873,0.231,0,"0","NCKAP5"
"TF",0,3.10688866333134,0.698,0.095,0,"0","TF"
"MAN2A1",0,3.07747128841496,0.865,0.457,0,"0","MAN2A1"
"FRMD4B",0,3.05002291059713,0.782,0.104,0,"0","FRMD4B"
"ELMO1",0,3.03393569866018,0.944,0.472,0,"0","ELMO1"
"TMEM165",0,3.01318633572937,0.838,0.318,0,"0","TMEM165"
"QDPR",0,2.98047952724994,0.774,0.273,0,"0","QDPR"
"DOCK10",0,2.96088919706214,0.885,0.237,0,"0","DOCK10"
"SLC5A11",0,2.94787501279911,0.492,0.032,0,"0","SLC5A11"
"LINC01608",0,2.91794907219998,0.545,0.021,0,"0","LINC01608"
"PHLPP1",0,2.91765429192831,0.913,0.477,0,"0","PHLPP1"
"TMTC2",0,2.89874461271865,0.914,0.438,0,"0","TMTC2"
"PIEZO2",0,2.88805506778782,0.583,0.046,0,"0","PIEZO2"
"PLCL1",0,2.86304278777361,0.886,0.497,0,"0","PLCL1"
"PXK",0,2.85158378043085,0.783,0.285,0,"0","PXK"
"ERBIN",0,2.84993423389138,0.919,0.503,0,"0","ERBIN"
"KCNH8",0,2.83470474202798,0.671,0.076,0,"0","KCNH8"
"PDE4B",0,2.75363389740431,0.961,0.549,0,"0","PDE4B"
"LPAR1",0,2.73041132009926,0.601,0.043,0,"0","LPAR1"
"FAM107B",0,2.71735472434176,0.621,0.048,0,"0","FAM107B"
"SHTN1",0,2.7108646380528,0.835,0.406,0,"0","SHTN1"
"UGT8",0,2.67850180595883,0.617,0.048,0,"0","UGT8"
"HHIP",0,2.6765678275675,0.56,0.051,0,"0","HHIP"
"CLDN11",0,2.67636619061551,0.594,0.037,0,"0","CLDN11"
"EDIL3",0,2.66608553418329,0.885,0.492,0,"0","EDIL3"
"FRYL",0,2.65898264881772,0.837,0.475,0,"0","FRYL"
"CREB5",0,2.65358738177151,0.693,0.185,0,"0","CREB5"
"PDE1C",0,2.65038529278321,0.795,0.359,0,"0","PDE1C"
"QKI",0,2.64143429540566,0.985,0.631,0,"0","QKI"
"PALM2-AKAP2",0,2.63515664643156,0.759,0.415,0,"0","PALM2-AKAP2"
"CNDP1",0,2.60403248147286,0.504,0.029,0,"0","CNDP1"
"SLCO1A2",0,2.59710066457724,0.551,0.023,0,"0","SLCO1A2"
"LINC00639",0,2.58164362525561,0.537,0.036,0,"0","LINC00639"
"PCSK6",0,2.5778267405177,0.585,0.11,0,"0","PCSK6"
"LAMP2",0,2.57122252695473,0.69,0.222,0,"0","LAMP2"
"ANLN",0,2.52308620782778,0.564,0.042,0,"0","ANLN"
"MYRF",0,2.49105521095569,0.554,0.035,0,"0","MYRF"
"ZNF536",0,2.48260302284918,0.802,0.173,0,"0","ZNF536"
"SLAIN1",0,2.48229702974224,0.755,0.396,0,"0","SLAIN1"
"CLDND1",0,2.48119230824303,0.595,0.196,0,"0","CLDND1"
"AC009063.2",0,2.46739498512043,0.507,0.023,0,"0","AC009063.2"
"LRP2",0,2.45327843411135,0.455,0.022,0,"0","LRP2"
"PDE8A",0,2.43924667847545,0.735,0.332,0,"0","PDE8A"
"HDAC2-AS2",0,2.43371970801231,0.539,0.176,0,"0","HDAC2-AS2"
"AC012494.1",0,2.42864370732293,0.369,0.043,0,"0","AC012494.1"
"SLC24A2",0,2.41035386731922,0.928,0.584,0,"0","SLC24A2"
"PLEKHH1",0,2.40831274267986,0.573,0.123,0,"0","PLEKHH1"
"DIP2B",0,2.38243465253081,0.857,0.544,0,"0","DIP2B"
"FRMD5",0,2.37665530128162,0.947,0.644,0,"0","FRMD5"
"SPOCK3",0,2.36336502959497,0.84,0.353,0,"0","SPOCK3"
"AMER2",0,2.35660778689903,0.632,0.204,0,"0","AMER2"
"CERCAM",0,2.35193218592847,0.504,0.061,0,"0","CERCAM"
"TTLL7",0,2.3513603991588,0.824,0.539,0,"0","TTLL7"
"PLD1",0,2.34867248478309,0.564,0.097,0,"0","PLD1"
"SCD",0,2.33859507631949,0.515,0.062,0,"0","SCD"
"SGK1",0,2.33309085325734,0.736,0.328,0,"0","SGK1"
"CNTN2",0,2.33247362409449,0.564,0.13,0,"0","CNTN2"
"SHROOM4",0,2.33095678699052,0.545,0.048,0,"0","SHROOM4"
