"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL627309.1",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"AL627309.5",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"LINC01409",0.157642192621798,-1.60080796509329,2.03230675689558,-0.787680284810243,0.430883740398188,0.987661108975073
"LINC01128",0.162262268469401,-1.48662567827078,2.04834180193687,-0.725770316684968,0.467979586751493,0.987661108975073
"AL645608.6",0.132853510554522,0.282849229907363,2.02651330519045,0.139574326594802,0.888996326439284,0.987661108975073
"SAMD11",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"KLHL17",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"AL645608.7",0.137609789506799,-0.235573971786808,1.91382341969521,-0.123090756107648,0.902035231172041,0.987661108975073
"HES4",0.415156977726887,2.39695055078041,2.2037896714199,1.08764941675948,0.276749906227246,0.987661108975073
"C1orf159",0.0930457741179793,0.798165549754893,1.74279435537345,0.457980339042272,0.646966566546096,0.987661108975073
"SDF4",0.302604979683955,0.184475585576933,2.15196928408955,0.0857240793076563,0.931685760065502,0.987661108975073
"UBE2J2",0.217235013754767,-1.78019324708199,2.1455875432685,-0.829699656239671,0.406708615868572,0.987661108975073
"ACAP3",0.752052537156019,-1.71343385685916,1.89589148559891,-0.903761565403036,0.366121845886962,0.987661108975073
"INTS11",0.157236880120534,0.438496560577759,1.87719283437949,0.233591644154504,0.815302015306776,0.987661108975073
"CPTP",0.132853510554522,0.282849229907363,2.02651330519045,0.139574326594802,0.888996326439284,0.987661108975073
"DVL1",0.0917843399652984,-0.958143245316231,1.72830291377529,-0.55438386273577,0.579316167635578,0.987661108975073
"AURKAIP1",0.162262268469401,-1.48662567827078,2.04834180193687,-0.725770316684968,0.467979586751493,0.987661108975073
"CCNL2",1.16608833227218,0.300829005177498,1.08643528645407,0.276895466235591,0.781860373961566,0.987661108975073
"MRPL20",0.268356185683342,-1.06375711493008,2.32097216958563,-0.458323942384882,0.6467197254313,0.987661108975073
"VWA1",0.138307227024288,-0.25355353311949,1.918502634933,-0.132162202179277,0.894855997106073,0.987661108975073
"ATAD3C",0.380423331549901,1.10517115817678,2.3010871882824,0.480282174358509,0.631026762296178,0.987661108975073
"ATAD3B",0.177269283235533,-0.778050272078467,2.21525019164315,-0.3512245592004,0.725419886753337,0.987661108975073
"ATAD3A",0.0465228870589897,0.268261934534756,1.47220650633869,0.18221759880814,0.855411962346736,0.987661108975073
"TMEM240",0.0917843399652984,-0.958143245316231,1.72830291377529,-0.55438386273577,0.579316167635578,0.987661108975073
"SSU72",0.393543104833575,0.795159988696445,1.96939553034511,0.403758400201662,0.686390389918149,0.987661108975073
"AL645728.1",0.0671318610026961,0.277072213087809,1.58096851689833,0.175254731594144,0.860879480145846,0.987661108975073
"FNDC10",0.132853510554522,0.282849229907363,2.02651330519045,0.139574326594802,0.888996326439284,0.987661108975073
"MIB2",0.289662597144538,-1.13006160598712,2.33815616695381,-0.483313143047832,0.628873409366969,0.987661108975073
"CDK11B",0.470398832408845,1.60870091686719,2.0002633490703,0.804244559905023,0.421255748844359,0.987661108975073
"SLC35E2B",0.132853510554522,0.282849229907363,2.02651330519045,0.139574326594802,0.888996326439284,0.987661108975073
"CDK11A",0.134263722005392,1.00199147239773,2.03613871671333,0.492103737418792,0.62264601029928,0.987661108975073
