"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHRM3",3.93126478729114,4.4283361529051,1.47776731165433,2.99663967255283,0.00272973156690833,0.99961583089597
"SNAP25",4.95459321532999,3.70640976824135,1.22627996025494,3.02248253936304,0.00250710545918495,0.99961583089597
"PTPRC",2.24102535830606,3.46084840751983,2.08201928082737,1.66225569541533,0.0964615170250835,0.99961583089597
"CD247",2.10341227346842,3.34302605956258,1.79881408627819,1.85846113006565,0.0631035582926862,0.99961583089597
"STAC",1.91088692952839,3.30293889976304,2.04346209127274,1.61634459179316,0.106019830805735,0.99961583089597
"LINGO2",3.94695729552208,3.26935843340857,1.56946241781903,2.08310718134414,0.0372414549442116,0.99961583089597
"SELE",2.93036190662966,3.26880150792412,3.26187754412656,1.00212269274487,0.316284339136898,0.99961583089597
"ACKR1",1.87289803460647,3.25854146309089,1.67364008224317,1.94697862321956,0.0515372975470471,0.99961583089597
"HBB",2.72506725592745,3.14952815037117,1.85296369398605,1.69972469541266,0.0891827219211795,0.99961583089597
"NDUFC2",1.66643302936809,3.03287428984155,1.57507629448965,1.925541194704,0.054161687471572,0.99961583089597
"NUCB2",1.50915691291329,3.02271711282429,1.64652458157883,1.83581657185212,0.0663847896894374,0.99961583089597
"IGFBP5",3.68677583541025,3.01257623792208,1.48172216179876,2.03315865524,0.0420364966173926,0.99961583089597
"SMIM8",1.49674755741694,2.96869436036374,1.84235984614684,1.6113542457911,0.107102533690178,0.99961583089597
"DTHD1",1.54968293390015,2.94847719600033,2.9127339418624,1.01227137625728,0.311408316909943,0.99961583089597
"HBA1",2.32699409284703,2.89689208302009,1.6429605126536,1.76321467296935,0.0778642899687816,0.99961583089597
"SLC4A10",1.41263843856733,2.85594819144715,1.84220297013615,1.55028964655077,0.121072011222193,0.99961583089597
"GEM",2.62366570310961,2.85563089105457,1.30828613443116,2.18272655797593,0.0290559529214112,0.99961583089597
"SLC4A4",39.0521865501753,2.83629735389977,2.04440596382494,1.38734547056068,0.16533644402876,0.99961583089597
"FBXO32",3.80378435671987,2.81878600288899,1.32900332039467,2.12097739684496,0.0339237046063273,0.99961583089597
"AQP4",2.11128829599487,2.81314821409634,1.64325133403981,1.71194031967126,0.0869076673047677,0.99961583089597
"ABLIM3",2.09192184121626,2.75569383064894,1.29052154896383,2.1353334493806,0.0327337825188785,0.99961583089597
"POLR2J3",1.39436376602546,2.75212859109994,1.54538031944159,1.7808746212676,0.0749329354505377,0.99961583089597
"SMOC1",1.94483777656134,2.74978508428943,1.71606639306038,1.60237686339487,0.109072297913027,0.99961583089597
"GUCY1A1",5.18565439751138,2.74741853677715,1.07931773819005,2.54551411467063,0.0109116952390458,0.99961583089597
"MMS22L",1.32115193534386,2.74544794567844,1.57158491944644,1.74692942882493,0.0806495802924134,0.99961583089597
"LSM2",1.43185767874369,2.74516358386408,1.67775449317685,1.63621292330207,0.101795032658559,0.99961583089597
"ZNF266",1.38766314667225,2.74306219593789,1.5488422374432,1.77104041304174,0.0765539816107574,0.99961583089597
"ACOT11",1.22410530326767,2.71953829612524,1.94662605484576,1.39705224295928,0.162397861507089,0.99961583089597
"LINC00861",1.3282996576287,2.71896728385727,2.98604456319354,0.910558173636017,0.362528217119938,0.99961583089597
"NKG7",1.3282996576287,2.71896728385727,2.98604456319354,0.910558173636017,0.362528217119938,0.99961583089597
"DIRC3",2.02637264906226,2.71566335004537,1.38816939225933,1.95629104429789,0.0504308785808022,0.99961583089597
"SLC20A1",1.98919276472248,2.70339223182404,1.39583683369572,1.93675375700349,0.0527754510820954,0.99961583089597
"PARP4",3.01176546626454,2.69938162660748,1.108079528605,2.43609015140441,0.0148469837552492,0.99961583089597
"CHI3L1",1.21169594777132,2.66674586458017,1.94965400637745,1.36780467501262,0.171373223976975,0.99961583089597
"CLEC2D",2.10923780607459,2.664672643899,1.43803209671492,1.85299942190877,0.063882441513225,0.99961583089597
"ELP1",2.76019273233265,2.65599583422342,1.29348133386295,2.05337005234653,0.0400367014994922,0.99961583089597
"INSIG1",1.14234076867773,2.65548846573397,2.05779671441094,1.29045228186892,0.19689366960881,0.99961583089597
"NGF",1.32501298823369,2.65420370347024,2.04627303928208,1.29709166495271,0.194599649061759,0.99961583089597
"PUF60",1.35478810666309,2.64718166640999,1.83438805342685,1.44308706190315,0.14899594751242,0.99961583089597
"GRIA3",1.24366347085984,2.6103193605345,1.58240461620444,1.64959033473728,0.0990267531641238,0.99961583089597
"MYO1F",1.181869638579,2.60821182055497,2.05867647790363,1.26693623235592,0.20517809194162,0.99961583089597
"SLC9A6",2.017539092302,2.59898653029942,1.64572223379293,1.57923766048265,0.114281554711481,0.99961583089597
"P3H1",1.19417661254953,2.59550360751331,1.67586374365804,1.54875574898941,0.121440446732429,0.99961583089597
"LMCD1-AS1",2.12810072382403,2.59126052022978,1.41489742646022,1.83141227891875,0.0670390299382806,0.99961583089597
"EHD4",1.14993088971518,2.58801714582297,1.8851065784833,1.37287577018866,0.169790970265378,0.99961583089597
"HMGB2",1.20463398446409,2.58695643627056,1.83231544282619,1.41185102510537,0.157993830695705,0.99961583089597
