"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HSP90AA1",1.76964130595752e-50,-3.19602532152353,0.013,0.437,4.9450856653677e-46,"Control","HSP90AA1"
"PDE4D",1.80172870969614e-33,-2.52782077132136,0.015,0.32,5.03475070637489e-29,"Control","PDE4D"
"HSPH1",6.17624392965657e-26,-2.42797341356489,0.008,0.253,1.72588960370323e-21,"Control","HSPH1"
"NEAT1",1.77357048884474e-23,-0.875997287356305,0.395,0.668,4.95606537402775e-19,"Control","NEAT1"
"ZBTB20",5.08663672089228e-23,0.822128231209182,0.663,0.401,1.42140976528614e-18,"Control","ZBTB20"
"B2M",2.50698155652037e-19,-1.60555152234693,0.079,0.304,7.00550926154051e-15,"Control","B2M"
"LINC01619",5.61183868271324e-19,1.22764914296807,0.314,0.117,1.56817220149739e-14,"Control","LINC01619"
"CCND3",9.02628893243161e-16,0.591191591717264,0.696,0.516,2.52230617927869e-11,"Control","CCND3"
"MYBL1",9.04301337639605e-14,0.841753300504813,0.421,0.226,2.52697965790011e-09,"Control","MYBL1"
"LINC00299",1.81247233707824e-13,0.836340002774091,0.418,0.226,5.06477269873144e-09,"Control","LINC00299"
"ITGB1",4.75619800034981e-13,-1.00479065139434,0.138,0.336,1.32907196921775e-08,"Control","ITGB1"
"PTGDR",3.73047675086369e-12,0.987694534069515,0.281,0.129,1.04244442326135e-07,"Control","PTGDR"
"MTSS1",5.87102171977471e-11,0.789244092402696,0.357,0.192,1.64059830937385e-06,"Control","MTSS1"
"GPATCH8",1.40682843837128e-10,0.680428192321041,0.48,0.323,3.93124138818472e-06,"Control","GPATCH8"
"PLCB1",1.76708537979647e-10,0.669095311179376,0.459,0.289,4.93794338530326e-06,"Control","PLCB1"
"FKBP5",1.96227269321933e-10,0.590757501234729,0.561,0.414,5.48337481393211e-06,"Control","FKBP5"
"GSAP",2.56634424724307e-10,0.748038298310706,0.39,0.23,7.17139236449602e-06,"Control","GSAP"
"SAMSN1",3.44615408632183e-10,-0.897647300054875,0.12,0.284,9.62993297881772e-06,"Control","SAMSN1"
"TSIX",3.72064186890665e-10,0.75645037982902,0.339,0.182,1.03969616384727e-05,"Control","TSIX"
"RNF19A",8.86540302583198e-10,-0.868979103685495,0.145,0.306,2.47734822153849e-05,"Control","RNF19A"
"C22orf34",1.22015458849374e-09,0.869766025933935,0.27,0.137,3.40959998208691e-05,"Control","C22orf34"
"AOAH",4.66206958252822e-09,0.32767977830912,0.837,0.718,0.000130276872414168,"Control","AOAH"
"VPS37B",6.01480449993881e-09,-0.813555071090055,0.128,0.281,0.00016807769694629,"Control","VPS37B"
"TBXAS1",7.71270692589592e-09,0.738254383274235,0.283,0.146,0.000215523882337236,"Control","TBXAS1"
"ZC3HAV1",6.69477289539862e-08,-0.683522883918077,0.199,0.35,0.00187078733789019,"Control","ZC3HAV1"
"HLA-A",1.2933642315288e-07,-0.746565386369491,0.138,0.274,0.00361417700858407,"Control","HLA-A"
"TXNIP",1.59890350190751e-07,0.606269925184763,0.38,0.246,0.00446797594573036,"Control","TXNIP"
"SYTL3",2.16355749676818e-07,0.390136555090406,0.671,0.519,0.006045845068969,"Control","SYTL3"
"BCAS3",4.56501502559018e-07,0.611608957313575,0.401,0.28,0.0127564779875092,"Control","BCAS3"
"GMDS-DT",5.88312716697516e-07,0.729417346487917,0.276,0.164,0.0164398105553954,"Control","GMDS-DT"
"ZSWIM6",5.886754515997e-07,-0.779958433222786,0.133,0.255,0.016449946819502,"Control","ZSWIM6"
"ARID5B",6.58466948666615e-07,-0.586325608807345,0.23,0.375,0.0184002004135399,"Control","ARID5B"
"SKAP1",6.7250583265273e-07,0.300610917303184,0.758,0.675,0.0187925029876479,"Control","SKAP1"
"RAP1GAP2",7.0604600209615e-07,0.516498756886422,0.429,0.287,0.0197297494825748,"Control","RAP1GAP2"
"SLC38A1",8.56549907659061e-07,-0.508507645454154,0.296,0.45,0.0239354306196248,"Control","SLC38A1"
"SGMS1",9.25381686470819e-07,-0.594722709505042,0.173,0.314,0.0258588658467406,"Control","SGMS1"
"LINC02384",1.24645185917181e-06,0.579656402820653,0.291,0.169,0.034830850752697,"Control","LINC02384"
"PLCG2",1.32831183753429e-06,-0.488363097187756,0.268,0.428,0.0371183459880582,"Control","PLCG2"
"PAM",1.3367404807105e-06,0.614240911551689,0.357,0.24,0.0373538759929743,"Control","PAM"
"DIP2A",1.51881567885198e-06,0.475112800082226,0.487,0.369,0.0424417853298398,"Control","DIP2A"
"PIK3R1",1.92866701337364e-06,-0.590666786809411,0.194,0.326,0.0538946710217129,"Control","PIK3R1"
"DNAJB6",2.61894895636147e-06,-0.681304625636152,0.163,0.283,0.0731839096365649,"Control","DNAJB6"
"PTPRJ",2.89223844939824e-06,-0.416379082698092,0.39,0.546,0.0808207112299845,"Control","PTPRJ"
"MT-CO3",5.63900083869551e-06,0.630463705907591,0.319,0.212,0.157576239436507,"Control","MT-CO3"
"MT-ND3",5.91683604790308e-06,0.70708911261787,0.296,0.195,0.165340066522604,"Control","MT-ND3"
"GPRIN3",6.4983256810343e-06,-0.477045590710192,0.214,0.354,0.181589212830822,"Control","GPRIN3"
"CAMK1D",7.02203869628372e-06,0.608144064718717,0.286,0.179,0.196223849328952,"Control","CAMK1D"
"IKZF1",8.29956536047547e-06,0.325613736145405,0.668,0.566,0.231923054433127,"Control","IKZF1"
"PTPN12",9.77444783017037e-06,0.492785779070908,0.378,0.257,0.273137170166281,"Control","PTPN12"
"KLF12",1.02617049932983e-05,0.423551529560507,0.523,0.407,0.286753084332729,"Control","KLF12"
"HIVEP2",1.17490018506856e-05,-0.533505970814729,0.143,0.26,0.32831410771556,"Control","HIVEP2"
"PPP1R16B",1.51460584455572e-05,-0.475782770666869,0.222,0.354,0.423241457202651,"Control","PPP1R16B"
"TBL1XR1",1.60767761921489e-05,-0.453260374251519,0.26,0.395,0.449249433913408,"Control","TBL1XR1"
"IFI16",1.6674062811665e-05,-0.439145962285805,0.306,0.438,0.465940011209167,"Control","IFI16"
"UBR5",2.01167242891844e-05,-0.519965594009359,0.196,0.315,0.56214174353697,"Control","UBR5"
"PPM1L",2.15232260638279e-05,0.583303616804691,0.283,0.183,0.601445029127608,"Control","PPM1L"
"CD226",2.20441633614133e-05,0.532432611650282,0.288,0.184,0.616002100971333,"Control","CD226"
"OSBPL5",2.22298950768865e-05,0.585516323907438,0.27,0.172,0.621192188028517,"Control","OSBPL5"
"ZEB2",2.27917892493235e-05,0.339234758228161,0.612,0.512,0.636893758783095,"Control","ZEB2"
"HNRNPA2B1",2.2871981778349e-05,-0.467284338374857,0.25,0.376,0.639134658814183,"Control","HNRNPA2B1"
"SPON2",2.78146244238885e-05,0.550931040242547,0.298,0.196,0.777251864901142,"Control","SPON2"
"HIPK2",2.79733684636728e-05,0.492659802151709,0.372,0.262,0.781687808348874,"Control","HIPK2"
"FNDC3B",2.81634272116319e-05,0.488118807115689,0.406,0.3,0.786998810001843,"Control","FNDC3B"
"OSBPL3",2.90498129931133e-05,-0.51709072079066,0.151,0.263,0.811767974279559,"Control","OSBPL3"
"LITAF",3.09644038747316e-05,-0.523705030433501,0.153,0.265,0.865269301875499,"Control","LITAF"
"PIK3R5",3.63469813979182e-05,0.448581298647348,0.429,0.325,1,"Control","PIK3R5"
"ADGRE5",3.98550542812373e-05,0.550359322412569,0.347,0.253,1,"Control","ADGRE5"
"LPP",4.16201209572851e-05,0.37163055995302,0.543,0.448,1,"Control","LPP"
"MLLT3",4.22199512928129e-05,-0.479410868852247,0.184,0.3,1,"Control","MLLT3"
"RNF125",4.48365943227843e-05,0.617435080509593,0.25,0.16,1,"Control","RNF125"
"FBXL17",4.52027593516403e-05,0.47617620795672,0.406,0.312,1,"Control","FBXL17"
"ATXN1",6.03379534795911e-05,-0.309474817220373,0.439,0.593,1,"Control","ATXN1"
"R3HDM2",6.13923343173428e-05,0.577918384017565,0.291,0.201,1,"Control","R3HDM2"
"VAV3",6.86663030272494e-05,0.347769497890526,0.554,0.461,1,"Control","VAV3"
"HLA-E",7.23748057860594e-05,-0.505598646113197,0.23,0.336,1,"Control","HLA-E"
"GFOD1",8.01144121624192e-05,0.469738899700512,0.403,0.311,1,"Control","GFOD1"
"SFMBT2",8.04468813019296e-05,-0.355691847172428,0.395,0.532,1,"Control","SFMBT2"
"TBL1X",9.09309244079029e-05,-0.447729196487164,0.207,0.32,1,"Control","TBL1X"
"IQGAP2",9.66692969784028e-05,0.263784488049438,0.689,0.609,1,"Control","IQGAP2"
"WAC",0.000147219507643807,-0.36340752176141,0.288,0.414,1,"Control","WAC"
"BIN2",0.000148328149252662,0.524156463587097,0.314,0.227,1,"Control","BIN2"
"BRWD1",0.000157624867963496,-0.484653100650578,0.191,0.293,1,"Control","BRWD1"
"STK4",0.000163213778799308,-0.362577292437774,0.327,0.45,1,"Control","STK4"
"BTBD9",0.000169641998552524,0.420430042488305,0.37,0.267,1,"Control","BTBD9"
"NEDD9",0.000181439507258055,0.512338610460819,0.316,0.228,1,"Control","NEDD9"
"SCAPER",0.000183052801408883,0.578948524016099,0.293,0.214,1,"Control","SCAPER"
"NSD3",0.000196906027953834,-0.446116377869911,0.161,0.262,1,"Control","NSD3"
"PHIP",0.000213840594433089,-0.402812420745234,0.245,0.358,1,"Control","PHIP"
"DPYD",0.000239007309916289,0.317917445705465,0.566,0.479,1,"Control","DPYD"
"MT-CO2",0.000250425964047782,0.414243617349752,0.406,0.308,1,"Control","MT-CO2"
"FRYL",0.000250452587257907,-0.387256066295305,0.281,0.395,1,"Control","FRYL"
"TTC17",0.000290420735562474,0.520760527105184,0.309,0.226,1,"Control","TTC17"
"PDE3B",0.000292337013610533,-0.377006872300548,0.258,0.372,1,"Control","PDE3B"
"BNC2",0.000297034738611485,0.458613167246661,0.349,0.257,1,"Control","BNC2"
"XIST",0.000332102625716848,0.420534672278279,0.291,0.197,1,"Control","XIST"
"CMIP",0.000370885978886236,-0.302493406142911,0.408,0.535,1,"Control","CMIP"
"TXK",0.000402288759548434,0.319606821105129,0.528,0.442,1,"Control","TXK"
"LYST",0.000415358534083848,-0.333056269549772,0.329,0.443,1,"Control","LYST"
"VPS13B",0.000475133929798228,0.326573275802209,0.518,0.453,1,"Control","VPS13B"
"KAT6B",0.000476484254411823,0.542401483938642,0.276,0.202,1,"Control","KAT6B"
"IKZF2",0.00049786655372455,0.487066351731923,0.253,0.171,1,"Control","IKZF2"
"XPO1",0.000533421531009774,-0.412840469442767,0.184,0.281,1,"Control","XPO1"
"MT-ND4",0.000534559111021346,0.562124304015492,0.283,0.206,1,"Control","MT-ND4"
"WWOX",0.000536546433469149,0.458024780472847,0.357,0.283,1,"Control","WWOX"
"UBE2K",0.000552011839517809,-0.420172351122881,0.186,0.283,1,"Control","UBE2K"
"RIPOR2",0.000559193957075132,0.30441481788153,0.556,0.47,1,"Control","RIPOR2"
"SSBP3",0.000580407611562443,-0.431536181194076,0.161,0.251,1,"Control","SSBP3"
"NCAM1",0.000667707149205506,-0.345524173944669,0.232,0.344,1,"Control","NCAM1"
"DGKD",0.000710963450847326,-0.388833527263284,0.25,0.347,1,"Control","DGKD"
"APBA2",0.000726451813429698,0.386598971091012,0.362,0.27,1,"Control","APBA2"
"STK17A",0.000753070304498279,-0.342786578289635,0.217,0.32,1,"Control","STK17A"
"STK10",0.000772660981749903,0.330843656231664,0.49,0.406,1,"Control","STK10"
"LCP1",0.000781029106285407,-0.335321185587032,0.237,0.343,1,"Control","LCP1"
"PRPF38B",0.000792321577358671,0.504692132496524,0.258,0.183,1,"Control","PRPF38B"
"CYTIP",0.000802551428133435,-0.350293498813354,0.27,0.376,1,"Control","CYTIP"
"NAP1L4",0.000808598912221457,-0.375990104247439,0.212,0.311,1,"Control","NAP1L4"
"PHF20",0.000829990729179147,0.469307293924859,0.27,0.193,1,"Control","PHF20"
"SETD5",0.000840702256187004,-0.431974456664296,0.184,0.27,1,"Control","SETD5"
"NCOA3",0.000866964537851907,-0.405590467939028,0.181,0.27,1,"Control","NCOA3"
"WNK1",0.000919923434993297,-0.299831089784092,0.255,0.367,1,"Control","WNK1"
"DYRK1A",0.000937431193447423,-0.321083100783152,0.311,0.419,1,"Control","DYRK1A"
"SND1",0.00106251371372008,-0.350931669923908,0.191,0.287,1,"Control","SND1"
"SLC4A7",0.00114299020090941,-0.397508008928875,0.171,0.258,1,"Control","SLC4A7"
"KDM4C",0.00116857944492348,0.42967427571794,0.355,0.285,1,"Control","KDM4C"
"SYNRG",0.00117354373881328,-0.388873024174496,0.181,0.27,1,"Control","SYNRG"
"TBC1D22A",0.00126358803664451,0.374883006583228,0.431,0.36,1,"Control","TBC1D22A"
"RAB8B",0.00127360418630472,-0.413897256505706,0.224,0.311,1,"Control","RAB8B"
"SRSF11",0.00146578012257289,0.372066161396246,0.365,0.286,1,"Control","SRSF11"
"ZDHHC20",0.00147221998412902,-0.292216361850212,0.196,0.296,1,"Control","ZDHHC20"
"PDE7A",0.00151431191181377,-0.289150785464468,0.329,0.446,1,"Control","PDE7A"
"PTBP3",0.00161490941625825,-0.363106295154005,0.179,0.266,1,"Control","PTBP3"
"PRRC2C",0.00180191776382826,-0.31836610582457,0.339,0.434,1,"Control","PRRC2C"
"ABHD15-AS1",0.00189244937772489,0.447605759538092,0.276,0.204,1,"Control","ABHD15-AS1"
"SLC9A9",0.00199820520815155,0.396492374823505,0.334,0.259,1,"Control","SLC9A9"
"AKNA",0.00201294682353867,0.320277311925871,0.472,0.401,1,"Control","AKNA"
"CNOT2",0.00201928095180145,-0.342317618963504,0.181,0.269,1,"Control","CNOT2"
"SP100",0.00212421981531422,0.31329155256984,0.474,0.413,1,"Control","SP100"
"RIN3",0.00217264681050776,-0.313325871577222,0.314,0.412,1,"Control","RIN3"
