"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MYOM2",1.98565642952098e-45,-2.96647072211852,0.046,0.265,4.0320739457853e-41,"control","MYOM2"
"LINGO2",2.87290093809383e-18,-1.49047322542805,0.166,0.324,5.83371264489333e-14,"control","LINGO2"
"CD3E",1.23822187617302e-17,0.843928401935432,0.47,0.285,2.51433334175693e-13,"control","CD3E"
"GZMM",1.592396699502e-13,0.433597511465988,0.77,0.652,3.23352073800876e-09,"control","GZMM"
"CXCR4",7.04420086052754e-13,0.456359756037874,0.652,0.481,1.43039542673872e-08,"control","CXCR4"
"CD74",2.5947900607809e-10,0.415444292242882,0.842,0.786,5.2689806974217e-06,"control","CD74"
"IFITM2",4.88143391897968e-10,0.320080522125411,0.836,0.754,9.91223971588014e-06,"control","IFITM2"
"MYL12A",5.59199702860152e-10,0.342325262036016,0.821,0.782,1.13551091662782e-05,"control","MYL12A"
"HLA-DPA1",7.1361124875409e-10,0.61608448607544,0.4,0.267,1.44905900172006e-05,"control","HLA-DPA1"
"GZMA",1.3731515842612e-09,0.344933299876975,0.839,0.772,2.7883216070008e-05,"control","GZMA"
"CD300A",1.51709580327197e-09,0.471628467504634,0.559,0.421,3.08061473812405e-05,"control","CD300A"
"PRMT2",6.95858459765423e-09,0.460941846166794,0.646,0.531,0.000141301018839967,"control","PRMT2"
"HLA-DPB1",2.46434220076259e-08,0.512705413241526,0.397,0.277,0.000500409327286851,"control","HLA-DPB1"
"PPP1R15A",4.0121242117706e-08,-0.622952083515049,0.537,0.588,0.000814701942442138,"control","PPP1R15A"
"JUND",4.93853785539699e-08,-0.390792778020026,0.924,0.895,0.00100281949691691,"control","JUND"
"HLA-DRB1",1.70012727559395e-07,0.799472506608936,0.259,0.164,0.00345227844582108,"control","HLA-DRB1"
"GLRX",2.51131366629673e-07,0.634196669354373,0.316,0.212,0.00509947353078214,"control","GLRX"
"CLSTN3",2.83752094793817e-07,0.639873422339909,0.271,0.17,0.00576187003688326,"control","CLSTN3"
"KLF6",6.42643560172795e-07,-0.424223016487606,0.73,0.755,0.0130495201328688,"control","KLF6"
"DUSP2",9.89534663790817e-07,0.409685669845673,0.6,0.501,0.0200934908829363,"control","DUSP2"
"CD48",1.1749069526973e-06,0.356890835261714,0.607,0.506,0.0238576605814713,"control","CD48"
"PLEK",1.22572617805877e-06,0.275035124988907,0.708,0.605,0.0248895957716614,"control","PLEK"
"COG5",1.44583401851838e-06,-0.616784695530922,0.323,0.415,0.0293591055800342,"control","COG5"
"ZBTB38",1.46566193459173e-06,0.416740701175194,0.33,0.227,0.0297617312438196,"control","ZBTB38"
"APOBEC3G",1.80241811529773e-06,0.37979108937961,0.511,0.401,0.0365999022492358,"control","APOBEC3G"
"ERAP2",3.01750526854649e-06,0.543524845445742,0.302,0.208,0.061273461983105,"control","ERAP2"
"ZMAT2",3.57419936713298e-06,0.429945840575658,0.327,0.229,0.0725776923490024,"control","ZMAT2"
"TRBC1",4.93855851537658e-06,0.312629972006851,0.552,0.445,0.100282369213237,"control","TRBC1"
"HSPA8",5.87694933155908e-06,0.277841575928041,0.772,0.705,0.119337333126639,"control","HSPA8"
"CCL3",7.65933726220904e-06,-1.21169262393126,0.196,0.269,0.155530502446417,"control","CCL3"
"ISG20",8.29538522237221e-06,0.481141424526737,0.379,0.286,0.16844609232549,"control","ISG20"
"MT2A",1.20945457865037e-05,0.437711369274404,0.455,0.364,0.245591846740743,"control","MT2A"
"NFKBIA",1.31424214047433e-05,-0.479287431524244,0.736,0.743,0.266870009044717,"control","NFKBIA"
"BTG2",1.39155417907829e-05,-0.335062987986759,0.671,0.708,0.282568991603637,"control","BTG2"
"NCR3",1.59630943958587e-05,0.399048149230064,0.475,0.383,0.324146594802307,"control","NCR3"
"FGFR1OP2",1.71904261295551e-05,0.425299164150385,0.276,0.19,0.349068792986746,"control","FGFR1OP2"
"CD81",2.16020785858204e-05,0.261213021335548,0.721,0.637,0.438651807763669,"control","CD81"
"NR4A2",2.22950137265439e-05,-0.394939427186475,0.656,0.675,0.4527225487312,"control","NR4A2"
"QKI",2.26947278999985e-05,-0.353232109417896,0.432,0.513,0.460839144737369,"control","QKI"
"ITGB7",2.28174744984848e-05,0.402720413155894,0.491,0.406,0.463331637166233,"control","ITGB7"
"CKLF",2.87023116430099e-05,0.294023911713505,0.416,0.316,0.582829140222959,"control","CKLF"
"BST2",2.94048281166335e-05,0.401220218163719,0.48,0.392,0.597094439736361,"control","BST2"
"TRMT112",3.73503171179673e-05,0.359178086360051,0.402,0.31,0.758435539397445,"control","TRMT112"
"ATP5MF",3.73711014341681e-05,0.337654820373765,0.496,0.398,0.758857585722218,"control","ATP5MF"
"RCSD1",4.12609036834584e-05,0.361544736965732,0.469,0.375,0.837843910196307,"control","RCSD1"
"SH3BP1",5.18549353061957e-05,0.478499090104281,0.351,0.269,1,"control","SH3BP1"
"ENO1",5.77357994363189e-05,0.30547955447797,0.569,0.481,1,"control","ENO1"
"FOS",5.95350157244103e-05,-0.383185538636519,0.908,0.886,1,"control","FOS"
"GIMAP7",6.45764317126433e-05,0.299408019544691,0.492,0.399,1,"control","GIMAP7"
"COX7A2L",6.87237912025138e-05,0.410512434514594,0.33,0.242,1,"control","COX7A2L"
"MVP",6.88426997937319e-05,0.391686803356078,0.342,0.257,1,"control","MVP"
"SACM1L",7.15020446534644e-05,0.457853876913744,0.326,0.244,1,"control","SACM1L"
"ICAM3",7.36431662706652e-05,0.267747095609814,0.618,0.527,1,"control","ICAM3"
"SNHG5",7.72320342293045e-05,0.308563034253543,0.401,0.307,1,"control","SNHG5"
"NEDD8",7.80086235314604e-05,0.31098148687189,0.453,0.361,1,"control","NEDD8"
"IER5",8.34425360597624e-05,-0.591736667840247,0.264,0.328,1,"control","IER5"
"TOMM6",9.27675117152776e-05,0.330160046791804,0.416,0.325,1,"control","TOMM6"
"PRDX5",9.37173565129927e-05,0.334734437054967,0.503,0.409,1,"control","PRDX5"
"CASP1",9.81921092245514e-05,0.472444698442501,0.255,0.176,1,"control","CASP1"
"BRK1",0.00010395818061157,0.321066527940498,0.499,0.409,1,"control","BRK1"
"GSAP",0.000110668959896685,-0.393713882452658,0.345,0.41,1,"control","GSAP"
"CD8A",0.000130833986580664,0.431628692575692,0.26,0.184,1,"control","CD8A"
"IER2",0.000135360983530602,-0.360327787219783,0.75,0.769,1,"control","IER2"
"CLK1",0.000143096136995154,-0.418640426316775,0.421,0.478,1,"control","CLK1"
"DDT",0.000145902873273359,0.389200006768348,0.301,0.22,1,"control","DDT"
"FERMT3",0.000170677707151553,0.313215404843095,0.418,0.325,1,"control","FERMT3"
"PIK3R1",0.000181572846354995,0.311761051242998,0.703,0.627,1,"control","PIK3R1"
"FOSB",0.000192533878566408,-0.536825478398858,0.441,0.481,1,"control","FOSB"
"TIMP1",0.000236051113801318,0.457389027721844,0.251,0.181,1,"control","TIMP1"
"TAF7",0.000251290619713241,0.375195317911072,0.399,0.317,1,"control","TAF7"
"MAPRE2",0.000259002965995684,-0.346300926745158,0.681,0.714,1,"control","MAPRE2"
"PHF11",0.000263924628632595,0.432061441538162,0.257,0.185,1,"control","PHF11"
"ARHGAP26",0.000264712564200639,-0.39420224323453,0.583,0.613,1,"control","ARHGAP26"
